Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
0,11122,MONSTER 821 STEALTH SPECIAL BLACK,Ducatti Sportbike,2020
8969,15995,MULTISTRADA 1260 S DUCATI RED,Ducatti Sportbike,2019
300,7800,MONSTER + 797,Ducatti Sportbike,2019
3107,19500,MULTISTRADA 1260 PIKES PEAK,Ducatti Sport Touring,2019
2077,8999,SCRAMBLER 1100,Ducatti Standard,2018
155,65000,SUPERLEGGERA 1299,Ducatti Sportbike,2017
0,21000,PANIGALE 1299,Ducatti Sportbike,2017
14664,14000,MULTISTRADA 1200 PIKES PEAK,Ducatti Dual Sport,2016
7090,7500,MONSTER 821 STRIPE,Ducatti Sportbike,2015
0,9850,DIAVEL CARBON,Ducatti Sportbike,2015
0,9650,HYPERMOTARD 1100 EVO SP,Ducatti Dual Sport,2012
13049,8190,MULTISTRADA 1200 ABS,Ducatti Sport Touring,2010
11806,8000,GT 1000 TOURING,Ducatti Standard,2007
1,18895,MULTISTRADA V2 S DUCATI RED,Ducatti Sportbike,2023
4,11695,SCRAMBLER NIGHTSHIFT AVIATOR GREY,Ducatti Standard,2023
0,30395,MULTISTRADA V4 PIKES PEAK LIVERY,Ducatti Sportbike,2023
1,24500,MULTISTRADA V4 S TRAVEL & RADAR SPOKED WHEEL,Ducatti Standard,2022
665,20000,STREETFIGHTER V2,Ducatti Sportbike,2022
1509,17995,STREETFIGHTER V4,Ducatti Sportbike,2022
0,11895,SCRAMBLER URBAN MOTARD,Ducatti Standard,2022
558,23495,MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
646,16000,STREETFIGHTER V2,Ducatti Sportbike,2022
2703,21499,DIAVEL 1260 S,Ducatti Cruiser,2021
1682,20985,MULTISTRADA V4 S,Ducatti Sport Touring,2021
1122,9258,MONSTER 821 DUCATI RED,Ducatti Sportbike,2019
818,7000,SCRAMBLER SIXTY2,Ducatti Standard,2016
2720,6295,SCRAMBLER ICON,Ducatti Dual Sport,2015
12934,7995,ST 3S ABS,Ducatti Sport Touring,2007
2672,7000,SUPERBIKE 748 BIPOSTA,Ducatti Sportbike,1998
0,18595,PANIGALE V2,Ducatti Sportbike,2023
37,44500,SUPERBIKE PANIGALE V4,Ducatti Sportbike,2023
4,11895,SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducatti Standard,2023
3728,13000,MONSTER + 937,Ducatti Sportbike,2023
3,26295,MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducatti Sportbike,2022
0,16395,SUPERSPORT 950 S DUCATI RED FAIRING,Ducatti Sportbike,2022
6,13495,SCRAMBLER 1100 PRO,Ducatti Standard,2021
1032,19495,DIAVEL 1260 S DUCATI RED,Ducatti Sportbike,2021
1409,44900,PANIGALE V4 R,Ducatti Sportbike,2020
907,22995,STREETFIGHTER V4 S DUCATI RED,Ducatti Sportbike,2020
0,16250,MULTISTRADA 1260 ENDURO,Ducatti Dual Sport,2019
360,11495,SCRAMBLER CAFE RACER,Ducatti Standard,2019
13359,14495,MULTISTRADA 1200 S PIKES PEAK,Ducatti Sport Touring,2016
21690,7999,MULTISTRADA 1200 S TOURING,Ducatti Sport Touring,2014
6565,9000,848 EVO BASE,Ducatti Super Moto,2013
1926,14500,1198 1198SP,Ducatti Sportbike,2011
1,17095,DESERTX STAR WHITE SILK,Ducatti Sportbike,2023
1,18295,DESERTX RR22 LIVERY,Ducatti Sportbike,2023
3,18195,STREETFIGHTER V2 STORM GREEN,Ducatti Sportbike,2023
123,13800,SUPERSPORT 950 S,Ducatti Sportbike,2022
7767,22750,MULTISTRADA V4 S SPORT,Ducatti Sport Touring,2022
557,17999,STREET FIGHTER V4,Ducatti Sportbike,2021
