Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
9106,11999,1290 SUPER DUKE GT,KTM Sport Touring,2017
11764,11995,SUPER ADVENTURE 1290,KTM  Standard,2016
5471,12499,1290 SUPER DUKE R ABS 1290 R ABS,KTM Sport Touring,2015
8137,10595,1290 SUPER DUKE R,KTM Standard,2014
9363,5499,DUKE 690,KTM  Sportbike,2013
0,12649,300 XC-W ERZBERGRODEO 300 W ERZBERGRODEO,KTM Dirt Bike,2023
1,13949,ADVENTURE 890,KTM Dual Sport,2023
0,5599,50 SX FACTORY EDITION,KTM Dirt Bike,2023
0,9799,150 XC-W,KTM Dirt Bike,2023
0,4899,65 SX,KTM Dirt Bike,2023
0,9199,790 DUKE,KTM Sportbike,2022
0,7499,150 XC-W,KTM Dirt Bike,2023
0,8499,250 XC-W,KTM Dirt Bike,2023
0,8999,300 XC,KTM Dirt Bike,2023
0,13997,890 ADVENTURE R,KTM Standard,2023
0,12499,350 XC-F FACTORY EDITION,KTM Dirt Bike,2023
0,19799,1290 SUPER DUKE GT,KTM Sportbike,2023
0,8994,DUKE 890 GP,KTM Sportbike,2022
0,2499,50 SX MINI,KTM Competition,2022
2,12599,890 ADVENTURE,KTM Sportbike,2022
0,8790,450 SX-F,KTM  Dirt Bike,2022
0,8790,450 SX-F,KTM Dirt Bike,2022
0,7890,250 SX-F,KTM  Dirt Bike,2022
2,8995,300 XC-W TPI,KTM Dirt Bike,2021
7570,14499,1290 SUPER DUKE R,KTM Sportbike,2020
2115,17988,1290 SUPER DUKE R,KTM Standard,2020
0,7190,250 SX-F,KTM  Dirt Bike,2020
4186,6190,RC 390,KTM Sportbike,2020
6048,16090,1290 SUPER DUKE GT,KTM Sport Touring,2019
10540,14798,1290 SUPER ADVENTURE S,KTM Sport Touring,2018
0,5483,250 XC-F,KTM  Dirt Bike,2018
1703,14999,1290 SUPER DUKE GT,KTM Sport Touring,2017
16647,11988,1090 ADVENTURE R -,KTM Dual Sport,2017
3832,5499,390 DUKE,KTM Sportbike,2017
6424,10590,1090 ADVENTURE R,KTM Touring,2017
0,7797,350 SX-F,KTM Mx,2017
2730,14488,1290 SUPER DUKE GT,KTM  Standard,2016
3245,13488,1290 SUPER DUKE R - 1290 R,KTM  Standard,2016
0,12999,690 ENDURO R,KTM Dirt Bike,2023
3,12999,690 ENDURO R,KTM Dirt Bike,2023
2,12949,890 DUKE R,KTM Sportbike,2022
1,12999,SMC 690 R,KTM Dual Sport,2023
1,20299,SUPER ADVENTURE 1290 S,KTM Dual Sport,2023
0,7999,250 XC-F,KTM Dirt Bike,2023
0,10997,690 ENDURO R,KTM Standard,2023
777,18999,1290 SUPER ADVENTURE S,KTM Sportbike,2022
716,4249,200 DUKE,KTM Sportbike,2022
6,10899,XCF-W 500,KTM Dual Sport,2022
503,11995,790 ADVENTURE,KTM Standard,2020
55,8995,450 SX-F FACTORY EDITION,KTM Mx,2020
5402,15999,1290 SUPER DUKE R,KTM Sportbike,2019
4296,16390,SUPER DUKE 1290 GT,KTM Sport Touring,2019
