Mileage_km,Price_$,Bike ,Type_of_Bike,Used_Time
11185," 12,500 ",MULTISTRADA 1200 S,Ducati Sport Touring,2015
29773," 13,500 ",999,Ducati Sportbike,2005
5," 18,295 ",PANIGALE V2,Ducati Sportbike,2023
3," 9,195 ",SCRAMBLER ICON DARK,Ducati Sportbike,2023
274," 14,500 ",MONSTER SP,Ducati Standard,2023
23231," 15,995 ",MULTISTRADA 1260 S DUCATI RED,Ducati Sportbike,2019
776," 7,800 ",MONSTER + 797,Ducati Sportbike,2019
8047," 19,500 ",MULTISTRADA 1260 PIKES PEAK,Ducati Sport Touring,2019
5380," 8,999 ",SCRAMBLER 1100,Ducati Standard,2018
402," 65,000 ",SUPERLEGGERA 1299,Ducati Sportbike,2017
37981," 14,000 ",MULTISTRADA 1200 PIKES PEAK,Ducati Dual Sport,2016
18364," 7,500 ",MONSTER 821 STRIPE,Ducati Sportbike,2015
33796," 8,190 ",MULTISTRADA 1200 ABS,Ducati Sport Touring,2010
30578," 8,000 ",GT 1000 TOURING,Ducati Standard,2007
2," 18,895 ",MULTISTRADA V2 S DUCATI RED,Ducati Sportbike,2023
10," 11,695 ",SCRAMBLER NIGHTSHIFT AVIATOR GREY,Ducati Standard,2023
2," 24,500 ",MULTISTRADA V4 S TRAVEL & RADAR SPOKED WHEEL,Ducati Standard,2022
1722," 20,000 ",STREETFIGHTER V2,Ducati Sportbike,2022
3907," 17,995 ",STREETFIGHTER V4,Ducati Sportbike,2022
1445," 23,495 ",MULTISTRADA V4S DUCATI RED / ALLOY WHEELS V4 S SPORT,Ducati Sportbike,2022
1672," 16,000 ",STREETFIGHTER V2,Ducati Sportbike,2022
7001," 21,499 ",DIAVEL 1260 S,Ducati Cruiser,2021
4356," 20,985 ",MULTISTRADA V4 S,Ducati Sport Touring,2021
2906," 9,258 ",MONSTER 821 DUCATI RED,Ducati Sportbike,2019
2120," 7,000 ",SCRAMBLER SIXTY2,Ducati Standard,2016
7046," 6,295 ",SCRAMBLER ICON,Ducati Dual Sport,2015
33500," 7,995 ",ST 3S ABS,Ducati Sport Touring,2007
6920," 7,000 ",SUPERBIKE 748 BIPOSTA,Ducati Sportbike,1998
95," 44,500 ",SUPERBIKE PANIGALE V4,Ducati Sportbike,2023
10," 11,895 ",SCRAMBLER URBAN MOTARD STAR WHITE SILK AND DUCATI GP,Ducati Standard,2023
9656," 13,000 ",MONSTER + 937,Ducati Sportbike,2023
8," 26,295 ",MULTISTRADA V4S AVIATOR GREY / ALLOY WHEELS V4 S SPORT,Ducati Sportbike,2022
16," 13,495 ",SCRAMBLER 1100 PRO,Ducati Standard,2021
2673," 19,495 ",DIAVEL 1260 S DUCATI RED,Ducati Sportbike,2021
3650," 44,900 ",PANIGALE V4 R,Ducati Sportbike,2020
2350," 22,995 ",STREETFIGHTER V4 S DUCATI RED,Ducati Sportbike,2020
933," 11,495 ",SCRAMBLER CAFE RACER,Ducati Standard,2019
34601," 14,495 ",MULTISTRADA 1200 S PIKES PEAK,Ducati Sport Touring,2016
56176," 7,999 ",MULTISTRADA 1200 S TOURING,Ducati Sport Touring,2014
17004," 9,000 ",848 EVO BASE,Ducati Super Moto,2013
4989," 14,500 ",1198 1198SP,Ducati Sportbike,2011
2," 17,095 ",DESERTX STAR WHITE SILK,Ducati Sportbike,2023
2," 18,295 ",DESERTX RR22 LIVERY,Ducati Sportbike,2023
8," 18,195 ",STREETFIGHTER V2 STORM GREEN,Ducati Sportbike,2023
319," 13,800 ",SUPERSPORT 950 S,Ducati Sportbike,2022
20117," 22,750 ",MULTISTRADA V4 S SPORT,Ducati Sport Touring,2022
1442," 17,999 ",STREET FIGHTER V4,Ducati Sportbike,2021
4411," 18,495 ",DIAVEL 1260 S,Ducati Sportbike,2020
4828," 15,999 ",MULTISTRADA 1260 S,Ducati Sportbike,2019
22338," 27,999 ",SUPERBIKE PANIGALE V4 S CORSE,Ducati Sportbike,2019
6582," 9,000 ",STREETFIGHTER S,Ducati Sportbike,2010
5509," 16,500 ",DESERTX,Ducati Dual Sport,2023
2," 17,495 ",STREETFIGHTER V2 STORM GREEN,Ducati Sportbike,2023
8," 17,995 ",STREETFIGHTER V2 DUCATI RED,Ducati Sportbike,2023
975," 15,550 ",STREETFIGHTER V2,Ducati Sportbike,2022
163," 19,500 ",PANIGALE V2,Ducati Sportbike,2021
4345," 8,500 ",SCRAMBLER® NIGHTSHIFT,Ducati Standard,2021
4345," 9,500 ",MONSTER 821,Ducati Sport Touring,2019
11104," 10,750 ",SCRAMBLER 1100,Ducati Sportbike,2018
6679," 8,000 ",SCRAMBLER STREET CLASSIC,Ducati Standard,2018
12070," 10,500 ",DIAVEL CARBON,Ducati Sport Touring,2015
1543," 12,500 ",MONSTER + 937,Ducati Sportbike,2023
2," 16,895 ",SUPERSPORT 950 S DUCATI RED FAIRING,Ducati Sportbike,2023
5150," 21,500 ",PANIGALE V4,Ducati Sportbike,2021
4620," 19,400 ",MULTISTRADA 1200,Ducati Sportbike,2020
13840," 12,000 ",HYPERMOTARD 950,Ducati Sportbike,2019
2474," 40,000 ",SUPERBIKE PANIGALE V4 R,Ducati Sportbike,2019
