Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
16,"4,699",CLASSIC 350 MARSH GREY,Royal Enfield Classic / Vintage,2023
3,"3,995",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2022
856,"4,999",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2022
930,"4,199",CLASSIC 350 DARK STEALTH BLACK,Royal Enfield Standard,2022
3,"3,995",CLASSIC 350 CHROME RED,Royal Enfield Standard,2022
2,"10,995",INT650 BAKER EXPRESS,Royal Enfield Standard,2022
16,"5,299",HIMALAYAN LAKE BLUE,Royal Enfield Standard,2022
11,"6,199",CONTINENTAL GT BRITISH RACING GREEN,Royal Enfield Standard,2022
2,"6,199",INT650 SUNSET STRIP,Royal Enfield Standard,2022
16,"6,699",INT650 MARK 2,Royal Enfield Standard,2022
16,"6,499",CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
11,"6,499",CONTINENTAL GT VENTURA STORM,Royal Enfield Standard,2022
8,"4,299",HIMALAYAN MIRAGE SILVER,Royal Enfield Dual Sport,2022
16,"4,549",METEOR FIREBALL RED,Royal Enfield Standard,2022
2,"6,499",CONTINENTAL GT DUX DELUXE,Royal Enfield Standard,2022
16,"5,899",INT650,Royal Enfield Cruiser,2022
11531,"4,799",HIMALAYAN,Royal Enfield Dual Sport,2021
5,"4,799",METEOR 350 BASE,Royal Enfield Cruiser,2023
5,"5,099",SCRAM 411 BASE,Royal Enfield Standard,2023
8,"6,849",INT650 USA CA MARK 2,Royal Enfield Standard,2023
16,"7,149",CONTINENTAL GT 650 MR.CLEAN BASE,Royal Enfield Standard,2023
16,"6,999",CONTINENTAL GT 650 MR.CLEAN BASE,Royal Enfield Standard,2023
16,"4,599",CLASSIC 350 HALCYON GREY,Royal Enfield Standard,2023
16,"4,699",CLASSIC 350 SIGNALS MARSH GREY,Royal Enfield Standard,2023
16,"6,149",CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
16,"5,849",INT650 SUNSET STRIP,Royal Enfield Standard,2023
16,"4,599",CLASSIC 350 HALCYON BLACK,Royal Enfield Standard,2023
16,"5,849",CONTINENTAL GT 650 BRITISH RACING GREEN,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
16,"4,799",CLASSIC 350 DARK GUNMETAL GREY,Royal Enfield Standard,2023
16,"5,649",INT650 CANYON RED,Royal Enfield Standard,2023
16,"6,149",INT650 ORANGE CRUSH,Royal Enfield Standard,2023
16,"5,849",INT650 BAKER EXPRESS,Royal Enfield Standard,2023
16,"6,149",INT650 ORANGE CRUSH,Royal Enfield Standard,2023
16,"3,999",SCRAM 411 GRAPHITE BLUE,Royal Enfield Standard,2023
8,"6,149",CONTINENTAL GT 650 VENTURA STORM,Royal Enfield Standard,2023
2,"4,699",METEOR 350 FIREBALL BLUE,Royal Enfield Standard,2023
16,"3,999",SCRAM 411 SKYLINE BLUE,Royal Enfield Standard,2023
3,"5,449",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2023
16,"4,599",CLASSIC 350 HALCYON GREEN,Royal Enfield Standard,2023
16,"5,649",INT650 VENTURA BLUE,Royal Enfield Standard,2023
16,"6,349",INT650 DOWNTOWN DRAG,Royal Enfield Standard,2023
3,"6,349",INT650 SUNSET STRIP,Royal Enfield Standard,2023
16,"4,899",CLASSIC 350 CHROME BRONZE,Royal Enfield Standard,2023
5,"5,069",INT650 BASE,Royal Enfield Standard,2022
5,"5,223",INT650 BASE,Royal Enfield Standard,2022
5,"5,608",INT650 BASE,Royal Enfield Standard,2022
5,"5,069",INT650 BASE,Royal Enfield Standard,2022
8,"4,995",INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
1209,"5,099",HIMALAYAN GRANITE BLACK,Royal Enfield Standard,2022
2,"5,299",HIMALAYAN,Royal Enfield Standard,2022
16,"3,999",METEOR STELLAR RED,Royal Enfield Standard,2022
3,"4,995",INT650 DOWNTOWN DRAG,Royal Enfield Standard,2022
14,"4,499",CLASSIC 350,Royal Enfield Cruiser,2022
1822,"4,185",HIMALAYAN SLEET GREY,Royal Enfield Standard,2021
9297,"3,900",HIMALAYAN,Royal Enfield Standard,2019
8571,"4,649",CLASSIC 500,Royal Enfield Classic / Vintage,2017
10,"4,799",METEOR 350,Royal Enfield Cruiser,2023
10,"4,899",METEOR 350,Royal Enfield Cruiser,2023
3,"6,649",CONTINENTAL GT 650 DUX DELUXE BASE,Royal Enfield Standard,2023
16,"5,099",SCRAM 411 SILVER SPIRIT,Royal Enfield Standard,2023
8,"5,099",SCRAM 411,Royal Enfield Dual Sport,2023
