Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
11748," 16,000 ",R NINET,BMW Cruiser,2014
79341," 6,500 ",K 1200 LT,BMW Touring,2009
52479," 4,999 ",K 1200 S,BMW Sportbike,2007
86327," 4,995 ",R 1200 RT,Sport Touring,2005
63407," 3,500 ",R 1100 RT ABS,BMW Cruiser,2000
346," 28,600 ",R 1250 GS ADVENTURE TRIPLE BLACK,BMW Dual Sport,2023
10," 25,270 ",S 1000 XR LIGHT WHITE/M MOTORSPORT 1000 R,BMW Dual Sport,2023
3," 24,170 ",R 1250 GS,BMW Dual Sport,2023
5," 13,450 ",F 750 GS,BMW Dual Sport,2023
5," 27,020 ",K 1600 B,BMW Touring,2023
3," 26,005 ",R 1250 GS ADVENTURE,BMW Dual Sport,2023
10," 15,190 ",R NINET SCRAMBLER GRANITE GRAY METALLIC,BMW Cruiser,2023
16," 9,535 ",C 400 GT TRIPLE BLACK,BMW Scooter,2023
16," 28,355 ",K 1600 GT SPORT,BMW Touring,2023
161," 32,000 ",S 1000 RR,BMW Sportbike,2023
8," 29,000 ",R NINET,BMW Cruiser,2023
325," 23,925 ",R 1250 GS,BMW Dual Sport,2023
174," 21,999 ",R 18 TRANSCONTINENTAL,BMW Cruiser,2022
3," 13,995 ",F 850 GS PREMIUM PACKAGE,BMW Dual Sport,2022
163," 12,990 ",F 900 XR,BMW Standard,2022
164," 10,999 ",F 900 R,BMW Standard,2022
1135," 14,990 ",S 1000 R,BMW Standard,2021
8," 18,999 ",R 18 FIRST EDITION,BMW Touring,2021
8851," 18,600 ",S 1000 XR,Sport Touring,2021
9386," 18,500 ",S 1000 XR,Sport Touring,2021
1448," 17,000 ",R 1250 RS,Sport Touring,2020
22531," 18,600 ",R 1250 1250 R,BMW Touring,2020
12390," 20,000 ",OTHER,Sport Touring,2018
30891," 18,495 ",K 1600 GTL THUNDER GREY METALLIC PREMIUM,BMW Touring,2018
9012," 10,995 ",R NINET SCRAMBLER,BMW Cruiser/Vintage,2017
4281," 15,300 ",R 1200 RT,Sport Touring,2016
45062," 16,000 ",R 1200 GS ADVENTURE,Dual Sport,2016
7488," 10,950 ",R NINET BASE,BMW Sportbike,2015
5121," 15,950 ",S 1000 RR,BMW Sportbike,2015
30466," 6,950 ",F 750,Sport Touring,2013
39912," 6,895 ",R 80 RT,Sport Touring,1985
805," 10,000 ",R 100 RT,BMW Cruiser/Vintage,1983
6," 14,940 ",R NINET SCRAMBLER GRANITE GRAY METALLIC,BMW Standard,2023
