Mileage_km,Price_$,Bike,Type_of_Bike,Used_Time
1260,"16,892",1290 SUPER DUKE R EVO,KTM Sportbike,2022
4495,"19,499",SUPER ADVENTURE 1290 R,Dual Sport,2022
61,"8,999",450 SX-F,KTM Competition,2022
206,"7,599",450 SX-F,KTM Competition,2022
2,"7,877",390 ADVENTURE,KTM Sportbike,2022
595,"10,999",500 EXC-F,Dirt Bike,2022
92,"7,997",250 SX-F,KTM Mx,2022
51,"8,482",250 SX-F,KTM Mx,2022
19486,"11,999",890 ADVENTURE,Sport Touring,2021
2884,"13,299",890 ADV-R BLACK / ORANGE / WHITE,Dual Sport,2021
132,"8,499",450 SX-F FACTORY EDITION,KTM Competition,2020
6235,"5,699",390 ADVENTURE,Sport Touring,2020
3330,"16,880",SUPERDUKE 1290 R,KTM Sportbike,2020
9962,"7,899",250 EXC-F,Dirt Bike,2019
38206,"16,999",1290 SUPER DUKE GT,Dual Sport,2019
212,"4,991",390 DUKE,KTM Sportbike,2019
19018,"6,990",RC 390,KTM Sportbike,2018
13679,"13,999",1290 SUPER ADVENTURE R,Dual Sport,2018
2559,"7,290",690 DUKE,KTM Sportbike,2017
1658,"4,990",530 EXC-R EXC CHAMPIONS EDITION,Dual Sport,2008
2,"7,564",390 ADVENTURE,Dirt Bike,2023
2,"12,949",890 DUKE R,KTM Sportbike,2023
2,"19,799",1290 SUPER DUKE GT,KTM Sportbike,2023
2,"9,199",790 DUKE,KTM Sportbike,2023
2,"13,949",890 ADVENTURE,Dirt Bike,2023
2,"7,399",390 ADVENTURE,Dirt Bike,2023
2,"12,999",690 SMC R ENDURO R,KTM Sportbike,2023
2,"15,199",890 ADVENTURE R,Dirt Bike,2023
2,"9,199",790 DUKE,KTM Sportbike,2023
2,"12,999",690 ENDURO R,Dirt Bike,2023
2,"20,399",1290 SUPER DUKE R EVO,KTM Sportbike,2023
2,"20,299",1290 SUPER ADVENTURE R,Dirt Bike,2023
2,"10,673",450 SMR,KTM Sportbike,2023
2,"5,599",RC 390,KTM Standard,2022
2,"9,750",890 DUKE GP,KTM Sportbike,2022
2,"10,499",450 SMR,Super Moto,2022
2,"16,990",1290 SUPER DUKE R EVO,KTM Sportbike,2022
2,"17,600",1290 SUPER ADVENTURE S,KTM Sportbike,2022
5835,"17,799",1290 SUPER DUKE R EVO,KTM Sportbike,2022
1656,"5,695",390 DUKE,KTM Sportbike,2022
4197,"10,783",DUKE,KTM Standard,2021
80,"7,999",250 SX-F,KTM Competition,2020
859,"14,900",1290 SUPER ADVENTURE S,Dual Sport,2020
4632,"4,699",390 DUKE,KTM Sportbike,2018
15933,"11,750",1090 ADVENTURE R,Dual Sport,2018
19325,"11,992",1290 SUPER DUKE GT,Sport Touring,2017
37968,"7,999",1290 SUPER DUKE R,KTM Sportbike,2014
12978,"4,736",690 DUKE,KTM Sportbike,2014
8,"20,399",1290 SUPER DUKE R,KTM Standard,2023
8,"12,999",690 SMC R ENDURO R,Dual Sport,2023
2,"10,199",250 SX-F,KTM Mx,2024
5,"8,399",125 XC,Dirt Bike,2024
2,"11,299",300 XC,Dirt Bike,2024
2,"8,399",125 XC,Dirt Bike,2024
5,"8,099",125 SX,KTM Mx,2024
5,"10,999",250 XC,Dirt Bike,2024
2,"8,399",125 XC,Dirt Bike,2024
16,"5,799",RC 390,KTM Standard,2022
277,"6,570",390 ADVENTURE,KTM Standard,2022
958,"7,999",390 ADVENTURE,KTM Standard,2022
2,"8,099",125 XC,Dirt Bike,2022
4910,"3,999",200 DUKE,KTM Sportbike,2022
2,"9,899",890 DUKE GP,KTM Sportbike,2022
113,"7,495",350 SX-F,Dirt Bike,2022
85,"8,797",450 SX-F,KTM Mx,2022
95,"7,499",350 SX-F,KTM Competition,2021
64,"8,999",250 SX-F,KTM Competition,2021
2668,"12,982",890 ADVENTURE R,KTM Standard,2021
4768,"9,499",790 DUKE,KTM Sportbike,2020
4947,"10,995",790 ADVENTURE,Sport Touring,2020
19900,"10,499",790 DUKE,KTM Sportbike,2020
7593,"9,999",690 SMC R ENDURO R,KTM Competition,2019
33471,"15,599",1290 SUPER ADVENTURE,Dual Sport,2018
12538,"9,998",1090 ADVENTURE R,Sport Touring,2018
42438,"13,594",1290 SUPER ADVENTURE R,Sport Touring,2017
10491,"13,499",1290 SUPER DUKE R,Sport Touring,2017
18609,"9,999",1190 ADVENTURE,Sport Touring,2015
7141,"14,599",1290 SUPER ADVENTURE,KTM Standard,2015
2,"3,999",450 XC,Dirt Bike,2007
4904,"5,500",300 XC-W,Dirt Bike,2007
2,"12,049",500 EXC-F,KTM Standard,2023
5,"12,999",690 SMC R ENDURO R,KTM Sportbike,2023
8,"9,199",790 DUKE,KTM Standard,2023
8,"20,299",1290 SUPER ADVENTURE S,Dual Sport,2023
8,"20,299",1290 SUPER ADVENTURE S,Dual Sport,2023
8,"20,299",1290 SUPER ADVENTURE S,Dual Sport,2023
8,"13,949",890 ADVENTURE,Dual Sport,2023
8,"12,999",690 ENDURO R,Dual Sport,2023
8,"9,199",790 DUKE,KTM Standard,2023
2,"9,199",790 DUKE,KTM Sportbike,2023
8,"7,399",390 ADVENTURE,Dual Sport,2023
2,"19,799",1290 SUPER DUKE GT,KTM Sportbike,2023
8,"12,999",690 ENDURO R,Dual Sport,2023
2,"20,399",1290 SUPER DUKE R EVO,KTM Standard,2023
3,"11,299",FREERIDE E-XC,Dirt Bike,2023
10,"16,995",500 EXC-F,Dirt Bike,2023
2,"6,399",390 ADVENTURE,Dirt Bike,2023
2,"4,988",65 SX,Dirt Bike,2023
8,"7,399",390 ADVENTURE,Dual Sport,2023
1429,"10,990",890 DUKE GP,KTM Standard,2022
562,"5,995",390 ADVENTURE,Dual Sport,2022
5938,"9,999",500 EXC-F,Dual Sport,2022
11298,"3,699",200 DUKE,KTM Sportbike,2022
63,"7,795",350 SX-F,Dirt Bike,2022
2,"3,999",200 DUKE,KTM Sportbike,2022
39,"9,095",450 SX-F,Dirt Bike,2022
2,"4,799",RC 390,KTM Sportbike,2022
8,"11,299",890 DUKE,KTM Sportbike,2022
393,"11,995",690 SMC R ENDURO R,Dirt Bike,2021
2369,"12,399",890 ADVENTURE,Dual Sport,2021
11296,"11,192",890 DUKE R,KTM Sportbike,2021
195,"9,200",XC 500 XCF-W 500 W,KTM Standard,2020
14145,"15,270",1290 SUPER ADVENTURE S,Dual Sport,2020
1015,"8,499",250 XCW TPI XC-W TPI,Dirt Bike,2020
32,"4,995",85 SX 17/14,KTM Mx,2019
7818,"15,995",1290 SUPER ADVENTURE R TKC,Dual Sport,2019
3980,"16,397",1290 SUPER DUKE GT,Sport Touring,2019
